Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Sovereign Debt Defaults,Rwanda - 1986,"HIPC countries; Rwanda in default with Other_Official_Creditors, LC_Debt, Private_Creditors, IMF, Paris_Club, China",1986,2021,203.9724349,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 1974,Other developing countries; Samoa in default with Private_Creditors,1974,1974,0.35,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 1981,Other developing countries; Samoa in default with Other_Official_Creditors,1981,1985,2.757,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 1988,Other developing countries; Samoa in default with Other_Official_Creditors,1988,1989,0.148,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 1991,Other developing countries; Samoa in default with Other_Official_Creditors,1991,1991,0.007,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 1993,"Other developing countries; Samoa in default with Other_Official_Creditors, Private_Creditors",1993,1993,0.302,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 1996,Other developing countries; Samoa in default with Other_Official_Creditors,1996,1997,0.017,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 2001,Other developing countries; Samoa in default with Other_Official_Creditors,2001,2002,0.056,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 2006,"Other developing countries; Samoa in default with China, Other_Official_Creditors, IDA",2006,2007,19,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 2009,Other developing countries; Samoa in default with Other_Official_Creditors,2009,2009,0.009,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 2012,Other developing countries; Samoa in default with Other_Official_Creditors,2012,2012,0.000669,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Samoa - 2020,"Other developing countries; Samoa in default with China, Other_Official_Creditors",2020,2021,18.1,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Sao Tome and Principe - 1983,"HIPC countries; Sao Tome and Principe in default with Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, Paris_Club, LC_Debt, China",1983,2021,103.0351213,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Senegal - 1971,"HIPC countries; Senegal in default with Other_Official_Creditors, Private_Creditors",1971,1975,0.236,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Senegal - 1981,"HIPC countries; Senegal in default with Paris_Club, Private_Creditors, FC_Bank_Loans, Other_Official_Creditors, China",1981,2011,2507.081,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Senegal - 2013,HIPC countries; Senegal in default with Other_Official_Creditors,2013,2013,0.308734,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Senegal - 2015,HIPC countries; Senegal in default with Other_Official_Creditors,2015,2016,1.2074508,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Senegal - 2020,HIPC countries; Senegal in default with Other_Official_Creditors,2020,2020,165.5268275,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Serbia - 1992,"Emerging/frontier markets; Serbia in default with IMF, IBRD, Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, Paris_Club, China",1992,2021,16738.45946,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
