Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on,Comment
South African War (Second Boer War),Combatants: United Kingdom and allies vs. South African Republic and Orange Free StateLocation: South Africa,1899,1902,"73,000-90,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[69]
Philippine-American War,Combatants: Philippines vs. USALocation: Philippines,1899,1912,"234,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[70] - Also known as the Philippine War
Russo-Japanese War,Combatants: Russia vs. JapanLocation: Northeast Asia,1904,1905,"101,300-206,100",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Mexican Revolution,"Combatants: In reality, a full blown Civil War with multiple sidesLocation: Mexico",1910,1920,"500,000-2,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[71]
1911 Revolution,Combatants: Qing China vs. RevolutionariesLocation: China,1911,,"220,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Balkan Wars,Combatants: See Balkan warsLocation: Balkan Peninsula,1912,1913,"140,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
World War I,Combatants: Allied Powers vs. Central PowersLocation: Worldwide,1914,1918,"16,000,000-40,000,000+ (the higher estimate also includes the first victims of the related Spanish flu epidemic who died by the end of 1918. Neither includes the subsequent Russian Civil War)",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[25] - Also known as the Great War
Russian Civil War,Combatants: Red army and allies vs. White army and alliesLocation: Russia,1917,1922,"5,000,000-9,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[72]
Kurdish separatism in Iran,Combatants: Qajar dynasty vs. Shekak (tribe)Location: Iran,1918,present,"15,000-58,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[73]
Iraqi-Kurdish conflict,Combatants: Kurdistan/Iraqi Kurdistan and allies vs. Iraq and alliesLocation: Iraq,1918,2003,"138,800-320,100",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[74][75]
Rif War,Combatants: Spain vs. Republic of the RifLocation: Morocco,1921,1926,"90,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[76]
Kurdish-Turkish conflict,Combatants: Turkey vs. Kurdish peopleLocation: Middle East,1921,present,"100,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Second Italo-Senussi War,Combatants: Italy vs. Senussi OrderLocation: Libya,1923,1932,"40,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Chinese Civil War,Combatants: ROC vs. PRCLocation: China,1927,1949,"8,000,000-11,692,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[77]
Chaco War,Combatants: Bolivia vs. ParaguayLocation: Gran Chaco,1932,1935,"85,000-130,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Second Italo-Ethiopian War,Combatants: Ethiopian Empire vs. ItalyLocation: Ethiopia,1935,1936,"278,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"According to Italian government statistics, the Italians suffered 1,148 KIA, 125 DOW, and 31 MIA.[78] According to the Ethiopian government, at least 275,000 Ethiopians died in the brief war.[78][79] - Also known as the Second Italo-Abyssinian War"
Spanish Civil War,Combatants: Nationalists vs. RepublicansLocation: Spain,1936,1939,"500,000-1,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[32]
Second Sino-Japanese War,Combatants: Republic of China and allies vs. JapanLocation: China,1937,1945,"20,000,000-25,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[80] - Part of World War II
World War II,Combatants: Allied powers vs. Axis PowersLocation: Worldwide,1939,1945,"85,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[25] - Largest and deadliest war in history
Winter War,Combatants: Finland vs. Soviet UnionLocation: Finland,1939,1940,"153,736-194,837",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of World War II
Greco-Italian War,Combatants: Greece vs. ItalyLocation: Southeast Europe,1940,1941,"27,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of World War II
Continuation War,Combatants: Finland and Germany vs. Soviet UnionLocation: Northern Europe,1941,1944,"387,300+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of World War II
Soviet-Japanese War,Combatants: Soviet Union and Mongolia vs. JapanLocation: Manchuria,1945,,"33,420-95,768",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of World War II
First Indochina War,"Combatants: France vs. Việt Minh, Lao Assara, and Khmer IssarakLocation: Southeast Asia",1946,1954,"400,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Also known as the Indochina War
Partition of India,Combatants: India and PakistanLocation: South Asia,1946,1948,"200,000-2,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,Partition of India
Greek Civil War,Combatants: Greek Government army vs. DSELocation: Greece,1946,1949,"158,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[81][82][83][84]
Malagasy Uprising,Combatants: France vs. Malagasy InsurgentsLocation: Madagascar,1947,1948,"11,342-89,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[85][86]
Kashmir conflict,Combatants: India vs. PakistanLocation: North India / Pakistan,1947,present,"80,000-110,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
La Violencia,Combatants: Colombian Conservative Party vs. Colombian Liberal PartyLocation: Colombia,1948,1958,"192,700-194,700",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Internal conflict in Myanmar,Combatants: Myanmar vs. Burmese Insurgent GroupsLocation: Myanmar,1948,present,"130,000-250,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[87]
Arab-Israeli conflict,Combatants: Arab Countries vs. IsraelLocation: Middle East,1948,present,"116,074+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[88]
Annexation of Hyderabad,Combatants: Dominion of India vs. HyderabadLocation: India,1948,,"29,000-242,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Also known as Operation Polo
Korean War,Combatants: South Korea and allies vs. North Korea and alliesLocation: Korea,1950,1953,"1,500,000-4,500,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"[89] American casualties in the Korean War included 54,246 dead and 103,284 wounded."
Algerian War,Combatants: Algeria vs. FranceLocation: Algeria,1954,1962,"400,000-1,500,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[90] - Also known as the Algerian War of Independence
Ethnic conflict in Nagaland,Combatants: India and Myanmar vs. Naga PeopleLocation: Northeast India,1954,present,"34,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[91]
