Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of tsunamis,"USA-FOX ISLANDS, ALEUTIAN ISLANDS, AK: 02/09/2011 10:55:53.5",Earthquake mag: 6.8; Max water height (m): 0.06; Magnitude (Iida): NADeaths: NA,2011-09-02,2011-09-02,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-KERMADEC ISLANDS: 21/10/2011 17:57:16.1,Earthquake mag: 7.4; Max water height (m): 0.14; Magnitude (Iida): NADeaths: NA,2011-10-21,2011-10-21,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 02/02/2012 13:34:40.6,Earthquake mag: 7; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2012-02-02,2012-02-02,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-OFF EAST COAST OF VANUATU: 09/03/2012 07:09:50.9,Earthquake mag: 6.7; Max water height (m): 0.05; Magnitude (Iida): NADeaths: NA,2012-03-09,2012-03-09,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-HOKKAIDO ISLAND: 14/03/2012 09:08:35.1,Earthquake mag: 6.9; Max water height (m): 0.2; Magnitude (Iida): NADeaths: NA,2012-03-14,2012-03-14,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-S. MEXICO: 20/03/2012 18:02:47.4,Earthquake mag: 7.4; Max water height (m): 0.2; Magnitude (Iida): NADeaths: NA,2012-03-20,2012-03-20,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-OFF W. COAST OF N SUMATRA: 11/04/2012 08:38:36.7,Earthquake mag: 8.6; Max water height (m): 1.08; Magnitude (Iida): NADeaths: NA,2012-04-11,2012-04-11,25,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-OFF W. COAST OF N SUMATRA: 11/04/2012 10:43:10.8,Earthquake mag: 8.2; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2012-04-11,2012-04-11,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 14/04/2012 22:05:26.4,Earthquake mag: 6.3; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2012-04-14,2012-04-14,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"GREENLAND-ILULISSAT ICEFJORD, GREENLAND: 15/07/2012 NA:NA:NA",Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2012-07-15,2012-07-15,0,DOI:10.7289/V5PN93H7,2023-02-02
