Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Major oil spills,"MP-80 Delta 20"" pipeline (Hurricane Ivan)","Location: United States, Louisiana, Owner: NA",2004-09-16,2004-09-19,963,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Chevron-Texaco tank collapse (Hurricane Ivan),"Location: United States, Louisiana, Owner: NA",2004-09-16,2004-09-17,423,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Berge Nice,"Location: Chile, 5 miles east of Punta Delgada, Strait of Magellan, Owner: NA",2004-05-14,,160,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Tasman Spirit,"Location: Pakistan, Karachi, Owner: Polembros Shipping",2003-07-28,,29000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Bouchard No. 120,"Location: United States, Buzzards Bay, Bourne, Massachusetts, Owner: NA",2003-04-27,,320,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Prestige,"Location: Spain, Galicia, Owner: Mare Shipping Inc.",2002-11-13,,63000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Limburg (bombing),"Location: Yemen, Gulf of Aden, Owner: NA",2002-10-06,,12200,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Manguinhos refinery,"Location: Brazil, Guanabara Bay, Rio de Janeiro, Owner: Peixoto de Castro, Repsol YPF",2001-11-23,,65.5,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Trans-Alaska Pipeline gunshot spill,"Location: United States, Alaska, Owner: Alyeska Pipeline Service Company",2001-10-04,,932,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Shell Ogbodo,"Location: Nigeria, Owner: Royal Dutch Shell",2001-06-25,,9500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
